Ref,Qty,Value / Part,MPN,Package,Supplier,Notes
C3,1,1000uF 10V,EEE-FK1A102P,SMD 10x10,Digi-Key,+5V_LED
C4,1,470uF 16V,EEE-FK1C471P,SMD 8x10,Digi-Key,+6V_SERVO
C7,1,1000uF 25V,EEE-FP1E102AP,SMD 10x10.2,Digi-Key,MAX9744 supply (10mm can to match CP_Elec_10x10; verify height vs casing)
C5-C6,2,10uF 25V X7R,GRM31CR71E106KA12L,1206,Digi-Key,Rail local (+5V_LOGIC / +3V3)
C8-C12 + C29,6,100nF 50V X7R,CL10B104KB8NNNC,0603,Digi-Key,Decoupling: C8 U7 / C9 U6 / C10-C11 +5V_LOGIC at the modules / C12 RP_5V; C29 = VBAT_SENSE ADC reservoir
C26-C27,2,1uF 16V X7R,CL10B105KO8NNNC,0603,Digi-Key,Audio input coupling
C28,1,100nF,CL10B104KB8NNNC,0603,Digi-Key,Pot / AS5600 OUT filter
R1,1,1k 1%,RC0603FR-071KL,0603,Digi-Key,DFPlayer TX series
R2,1,1k 1%,RC0603FR-071KL,0603,Digi-Key,Pot/AS5600 OUT series
R3,1,330R 1%,RC0603FR-07330RL,0603,Digi-Key,NeoPixel data series (body)
R5-R8,4,4.7k 1%,RC0603FR-074K7L,0603,Digi-Key,I2C pull-ups (R5/R6 ESP32 bus I2C-A; R7/R8 RP2350 bus I2C-B)
R9,1,10k 1%,RC0603FR-0710KL,0603,Digi-Key,Hall pull-up (encoder A/B need none - driven through U7)
R12-R23,12,10k 1%,RC0603FR-0710KL,0603,Digi-Key,Motor driver PWM/INA/INB pull-downs (4 ch x 3)
R24,1,47k 1%,RC0603FR-0747KL,0603,Digi-Key,Battery sense top
R25,1,10k 1%,RC0603FR-0710KL,0603,Digi-Key,Battery sense bottom
R28,1,10k 1%,RC0603FR-0710KL,0603,Digi-Key,ESTOP pull-up
R29-R30,2,10k 1%,RC0603FR-0710KL,0603,Digi-Key,+5V_LOGIC sense divider (RP2350 GP28)
R33,1,47k 1%,RC0603FR-0747KL,0603,Digi-Key,Q1 gate pull-down
J1,1,XT60 male PCB VERTICAL,XT60PB-M (Amass),THT 2x dia4.0 @ 7.2mm,LCSC C19268037 (alt JLC lib C9900017179),SINGLE board VCC input: 12 V 3S4P pack (9-12.6 V) -> F1 10A -> Q1 RPP -> VIN; pack lead = XT60 female
J_AMP,1,Pin header 2x7 0.1in male,PH2-14-UA,TH,Digi-Key,MAX9744 amp module harness: 1 VDD12 2 GND 3 INL 4 INR 5 AGND 6 SDA 7 SCL 8 SHDN 9-12 SPK L+/L-/R+/R- 13 Vi2c(3V3) 14 GND
J_U1A-J_U1B,2,Female header 1x15 2.54mm 8.5mm,B-2200S15P-A120 (Ckmtw),THT,LCSC C124408,ESP32 DevKitC sockets
J_U2A-J_U2B,2,Female header 1x9 2.54mm 8.5mm,B-2200S09P-A120 (Ckmtw),THT,LCSC C124417,RP2350-Zero side sockets (low stock: cut a 1x15 if out)
J_U2C,1,Female header 1x5 2.54mm 8.5mm,2.54-1*5P (BOOMELE),THT,LCSC C50950,RP2350-Zero end socket
J2-J3,2,Pin header 2x5 0.1in male (no shroud),PH2-10-UA,TH,Digi-Key,Motor driver IDC ribbons - odd pins = channel A row (VCC PWM INA INB GND); even = channel B
J4-J5,2,Pin header 1x3 0.1in,PH1-03-UA,TH,Digi-Key,Servos L / R (SIG +6V GND) - Hitec HS-805BB or JX PDI-HV2060MG jumbo servos
J6,1,JST-XH 4-pin,B4B-XH-A,XH TH,Digi-Key,IMU GY-BMI160 over I2C: 1 +5V->VIN, 2 GND, 3 SCL, 4 SDA (same order as v9.15 MPU)
J7,1,JST-XH 5-pin,B5B-XH-A,XH TH,Digi-Key,S2S sensor (3V3 GND OUT SDA SCL) - AS5600 or pot
J8,1,JST-XH 4-pin,B4B-XH-A,XH TH,Digi-Key,Dome encoder (B A GND 5V) - same order as v9.15 DOME_ENC
J9,1,JST-XH 3-pin,B3B-XH-A,XH TH,Digi-Key,Hall
J10,1,JST-XH 3-pin,B3B-XH-A,XH TH,Digi-Key,Body NeoPixel (5V GND DATA)
J11,1,JST-XH 2-pin,B2B-XH-A,XH TH,Digi-Key,Slip ring: +5V_LED / GND to body-shell NeoPixels (pack charges via its own lead - no charge path on board)
J13-J14,2,JST-VH 2-pin,B2P-VH,VH TH,Digi-Key,Speakers L / R (BTL)
J15,1,JST-XH 2-pin,B2B-XH-A,XH TH,Digi-Key,ESTOP loop
J17,1,JST-SH 4-pin (Qwiic),SM04B-SRSS-TB,SH SMD,Digi-Key,I2C expansion on the RP2350 bus (ESP32 bus is on J7 pins 4/5)
H1-H5,5,M3 mounting holes (plated; GND ring),-,3.2mm,-,"board (x,y) from the axle centre: H1 (-42,24) H2 (-42,-24) H3 (27,37) H4 (27,-37) H5 (70,0) - see hardware/mechanical/compact-cover/cover_layout.md"
PCB,1,4-layer 1oz 1.6mm FR4 (F / In1 GND / In2 +5V pour + signal / B),-,-,JLCPCB (fab package hardware/fab/ZDrive_v10_compact_JLCPCB_r7.zip),teardrop ~152x110 compact (ordered rev A); ~152x125 extended variant unrouted. No test points, no reset switch and no MOTOR_EN gate on rev A
